Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Super Built-Up Area,19-Mar,Horamavu Agara,3 Bhk,Prhar G,1756,3.0,2.0,92.0,4
Super Built-Up Area,Ready To Move,Bharathi Nagar,3 Bhk,Foapewa,1739,3.0,1.0,105.0,4
Super Built-Up Area,Ready To Move,Varthur,2 Bhk,Caiseur,1280,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Grrvagr,1215,2.0,2.0,58.86,4
Super Built-Up Area,18-Apr,Munnekollal,2 Bhk,Sadhii,950,2.0,1.0,46.5,4
Built-Up Area,Ready To Move,Kengeri,3 Bhk,Grrvagr,1082,2.0,1.0,49.0,4
Super Built-Up Area,Ready To Move,Devanahalli,2 Bhk,Cerdsga,1080,2.0,0.0,53.35,4
Super Built-Up Area,Ready To Move,Arekere,2 Bhk,Maierr,1100,2.0,2.0,55.0,4
Plot Area,Ready To Move,Ardendale,4 Bedroom,Aling10,3200,4.0,1.0,205.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Pralesi,1311,2.0,1.0,78.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1608,3.0,1.0,67.98,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Grrvagr,1160,2.0,2.0,36.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Veitaus,1170,2.0,1.0,71.0,4
Super Built-Up Area,Ready To Move,Kengeri,2 Bhk,Grrvagr,1155,2.0,2.0,40.6,4
Super Built-Up Area,18-Dec,Hebbal,3 Bhk,Magiaya,1255,2.0,1.0,77.68,4
Super Built-Up Area,Ready To Move,Rayasandra,2 Bhk,Grrvagr,1065,2.0,2.0,44.95,4
Super Built-Up Area,Ready To Move,Neeladri Nagar,1 Bhk,Guenoa,674,1.0,1.0,21.0,0
Super Built-Up Area,Ready To Move,Ambedkar Nagar,3 Bhk,Grrvagr,1936,4.0,2.0,126.0,4
Super Built-Up Area,18-Dec,Sarakki Nagar,3 Bhk,Grrvagr,2289,3.0,2.0,260.0,4
Super Built-Up Area,Ready To Move,Abbaiah Reddy Layout,2 Bhk,Grrvagr,1100,2.0,1.0,38.45,4
Super Built-Up Area,Ready To Move,Ramagondanahalli,3 Bhk,Dneremo,2257,4.0,2.0,157.0,4
Super Built-Up Area,Ready To Move,Nagarbhavi,2 Bhk,Grrvagr,1055,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1530,3.0,3.0,51.87,4
Super Built-Up Area,Ready To Move,Dinnur,3 Bhk,Grrvagr,1700,3.0,1.0,97.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Tentsw,1575,2.0,2.0,78.0,4
Built-Up Area,Ready To Move,Frazer Town,3 Bhk,Nanorkr,3500,4.0,2.0,330.0,4
Super Built-Up Area,Ready To Move,Rajiv Nagar,2 Bhk,Ahntyve,1263,2.0,1.0,93.32,4
Super Built-Up Area,Ready To Move,Kr Puram,3 Bhk,Mcvarar,1255 - 1863,3.0,0.0,69.315,4
Super Built-Up Area,Ready To Move,Kengeri Satellite Town,2 Bhk,Mb-Laan,1043,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Hennur,2 Bhk,Shateor,1255,2.0,2.0,53.5,4
Super Built-Up Area,18-Mar,Jp Nagar,2 Bhk,Shestut,1300 - 1405,2.0,0.0,93.865,4
Super Built-Up Area,18-Dec,Chandapura,1 Bhk,Siageal,590,1.0,0.0,13.57,0
Plot Area,Ready To Move,Yelahanka,3 Bedroom,Edreelm,1550,3.0,1.0,120.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Grrvagr,1220,3.0,3.0,56.0,4
Super Built-Up Area,Ready To Move,Rustam Bagh Layout,3 Bhk,Jants V,1900,3.0,3.0,160.0,4
Super Built-Up Area,Ready To Move,Vasantha Vallabha Nagar,3 Bhk,Grrvagr,1360,3.0,3.0,55.0,4
Built-Up Area,Ready To Move,Vyalikaval,2 Bhk,Grrvagr,1100,2.0,1.0,75.0,4
Super Built-Up Area,20-Mar,8Th Phase Jp Nagar,3 Bhk,Vaarech,1455,3.0,2.0,73.31,4
Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Hivesdr,1035,2.0,1.0,40.5,4
Super Built-Up Area,Ready To Move,Harlur,2 Bhk,Grrvagr,1152,2.0,2.0,69.0,4
Super Built-Up Area,Ready To Move,Bellandur,2 Bhk,Oriewla,1299,2.0,2.0,82.0,4
Super Built-Up Area,Ready To Move,Rachenahalli,2 Bhk,Sovar S,1050,2.0,2.0,52.5,4
Super Built-Up Area,Ready To Move,Pai Layout,2 Bhk,Grrvagr,1050,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Vittasandra,2 Bhk,Grrvagr,1246,2.0,1.0,67.4,4
Built-Up Area,Ready To Move,"Sarjapur Road,",3 Bhk,Grrvagr,1929,3.0,2.0,115.0,4
Super Built-Up Area,Ready To Move,Hennur,2 Bhk,Grrvagr,1285,2.0,1.0,60.0,4
Plot Area,Ready To Move,Margondanahalli,3 Bedroom,Grrvagr,1200,2.0,0.0,65.0,4
Built-Up Area,Ready To Move,"Banaswadi,",4 Bhk,Grrvagr,3161,4.0,3.0,214.0,4
Built-Up Area,Ready To Move,Btm 2Nd Stage,3 Bhk,Sne 2Ev,1850,3.0,2.0,170.0,4
Built-Up Area,Ready To Move,Sompura,3 Bhk,Suiseit,1025,2.0,0.0,37.0,4
Built-Up Area,Ready To Move,Malleshwaram,2 Bhk,Saenese,1124,3.0,2.0,80.0,4
Super Built-Up Area,19-Dec,Balagere,2 Bhk,Soresea,1012,2.0,1.0,54.59,4
Super Built-Up Area,Ready To Move,Giri Nagar,7 Bhk,Bancyri,4500,5.0,3.0,250.0,4
Super Built-Up Area,Ready To Move,8Th Phase Jp Nagar,2 Bhk,I1Rtsco,871,2.0,2.0,55.0,4
Built-Up Area,Ready To Move,Chinnapanahalli,2 Bhk,Mae 2Ow,1020,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Rachenahalli,3 Bhk,Sovar S,1550,3.0,3.0,73.5,4
Plot Area,Ready To Move,Anand Nagar,3 Bedroom,Grrvagr,3515,3.0,1.0,420.0,4
Super Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Dlhtsnd,1410,2.0,2.0,80.0,4
Plot Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,3500,5.0,3.0,150.0,4
Super Built-Up Area,18-Apr,Whitefield,2 Bhk,Prtates,1118,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Thanisandra,2 Bhk,Bhmesy,1098,2.0,1.0,68.0,4
Super Built-Up Area,Ready To Move,Kanakapura,2 Bhk,Grrvagr,1130,2.0,1.0,45.2,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Trurea,1145,2.0,2.0,75.0,4
Plot Area,Ready To Move,Kadugodi,3 Bedroom,Grrvagr,950,3.0,1.0,80.0,4
Super Built-Up Area,Ready To Move,Balaji Gardens Layout,2 Bhk,Gsnts A,1051,2.0,1.0,33.0,4
Plot Area,Ready To Move,Thavarekere,7 Bedroom,Grrvagr,600,7.0,2.0,108.0,4
Super Built-Up Area,18-Apr,Marathahalli,2 Bhk,Grrvagr,1102,2.0,2.0,53.67,4
Super Built-Up Area,Ready To Move,Jalahalli,2 Bhk,Tahtsla,1478,2.0,2.0,125.0,4
Carpet Area,18-Dec,Hebbal,2 Bhk,Arcia S,823,2.0,1.0,50.63,4
Super Built-Up Area,21-Dec,Abbigere,2 Bhk,Grrvagr,880,2.0,1.0,35.0,4
Built-Up Area,Ready To Move,Kr Puram,4 Bedroom,Grrvagr,600,5.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Budigere,3 Bhk,Pritytr,1991,4.0,2.0,100.0,4
Built-Up Area,Ready To Move,Tc Palaya,3 Bhk,Grrvagr,1100,3.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Gubbalala,3 Bhk,Mauiltr,1745,3.0,2.0,115.0,4
Built-Up Area,17-Sep,Hal 2Nd Stage,2 Bhk,Grrvagr,1226,3.0,1.0,135.0,4
Plot Area,Ready To Move,Begur Road,3 Bedroom,Grrvagr,680,4.0,1.0,68.0,4
Super Built-Up Area,Ready To Move,Devarabeesana Halli,2 Bhk,Grrvagr,1100,2.0,1.0,70.0,4
Plot Area,Ready To Move,Banashankari Stage Vi,4 Bedroom,Grrvagr,1200,4.0,3.0,195.0,4
Super Built-Up Area,Ready To Move,5Th Phase Jp Nagar,2 Bhk,Sorta S,1450,2.0,1.0,58.0,4
Super Built-Up Area,Ready To Move,Singasandra,4 Bhk,Grrvagr,3366,4.0,2.0,120.0,4
Built-Up Area,Ready To Move,Sahakara Nagar,2 Bhk,Grrvagr,1150,2.0,1.0,54.0,4
Plot Area,Ready To Move,Banashankari Stage Vi,4 Bedroom,Grrvagr,2200,4.0,2.0,195.0,4
Built-Up Area,Ready To Move,Bommanahalli,2 Bhk,Grrvagr,1090,3.0,2.0,44.0,4
Super Built-Up Area,Ready To Move,Kaggadasapura,2 Bhk,Binorn,1132,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Hulimavu,2 Bhk,Ratosar,1375,2.0,2.0,80.0,4
Plot Area,Ready To Move,7Th Phase Jp Nagar,4 Bedroom,Grrvagr,1500,5.0,3.0,220.0,4
Super Built-Up Area,Ready To Move,Thanisandra,1 Bhk,Bhmesy,760,1.0,2.0,50.3,0
Super Built-Up Area,Ready To Move,Kaggadasapura,2 Bhk,Grrvagr,1180,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Jigani,2 Bhk,Dlhtsan,918,2.0,2.0,45.0,4
Plot Area,Ready To Move,Rachenahalli,5 Bedroom,Grrvagr,600,5.0,2.0,50.0,4
Built-Up Area,Ready To Move,Margondanahalli,2 Bedroom,Grrvagr,1200,1.0,0.0,53.0,0
Plot Area,Ready To Move,1St Block Hrbr Layout,7 Bedroom,Grrvagr,2400,7.0,3.0,355.0,4
Super Built-Up Area,Ready To Move,Ardendale,3 Bhk,Soystam,1728,3.0,2.0,95.0,4
Super Built-Up Area,Ready To Move,Malleshwaram,3 Bhk,Sariaat,2215,3.0,1.0,275.0,4
Super Built-Up Area,Ready To Move,Btm 2Nd Stage,2 Bhk,Crentt,1200,2.0,2.0,80.0,4
Super Built-Up Area,Ready To Move,6Th Phase Jp Nagar,2 Bhk,Vador S,1280,2.0,2.0,56.0,4
Plot Area,Ready To Move,Hulimavu,4 Bedroom,Grrvagr,800,4.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Byrasandra,3 Bhk,Viisepa,1455,2.0,2.0,56.0,4
Super Built-Up Area,20-Aug,Rachenahalli,1 Rk,Asnowre,440,1.0,0.0,28.0,0
Plot Area,Ready To Move,Kanakpura Road,3 Bedroom,Nathira,1500,3.0,2.0,97.0,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Brony H,1800,3.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Mysore Road,3 Bhk,Grrvagr,1525,3.0,2.0,96.0,4
Super Built-Up Area,Ready To Move,Rachenahalli,2 Bhk,Grrvagr,1204,2.0,3.0,38.5,4
Super Built-Up Area,19-Dec,Old Madras Road,2 Bhk,Sheldgr,1225,2.0,1.0,53.55,4
Built-Up Area,Ready To Move,Kalyan Nagar,6 Bedroom,Grrvagr,800,6.0,3.0,98.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,3 Bhk,Esave E,1650,3.0,2.0,122.0,4
Built-Up Area,Ready To Move,Electronic City,3 Bhk,Itelaa,880,2.0,1.0,18.0,4
Built-Up Area,Ready To Move,Bikasipura,4 Bedroom,Grrvagr,4200,4.0,2.0,255.0,4
Plot Area,Ready To Move,Tippenahalli,2 Bedroom,Grrvagr,1200,2.0,0.0,55.0,4
Plot Area,Ready To Move,Sarjapur Road,4 Bedroom,Grrvagr,1152,4.0,1.0,230.0,4
Super Built-Up Area,Ready To Move,9Th Phase Jp Nagar,2 Bhk,Naensga,1005,2.0,1.0,42.0,4
Super Built-Up Area,20-Dec,Whitefield,3 Bhk,Oreldhi,1562,3.0,2.0,103.0,4
Built-Up Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,5000,5.0,2.0,395.0,4
Plot Area,Ready To Move,Babusapalaya,6 Bedroom,Grrvagr,810,5.0,2.0,95.0,4
Super Built-Up Area,Ready To Move,Ramamurthy Nagar,2 Bhk,Grrvagr,1200,2.0,3.0,42.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Grrvagr,1555,3.0,2.0,82.5,4
Plot Area,Ready To Move,Kr Puram,2 Bedroom,Grrvagr,1550,2.0,1.0,71.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Bainepr,1190,2.0,2.0,67.0,4
Built-Up Area,Ready To Move,Chikkalasandra,2 Bhk,Ksonsca,1070,2.0,2.0,50.0,4
Plot Area,Immediate Possession,Sarjapur Road,2 Bhk,Asdiaar,1200 - 2400,2.0,2.0,28.785,4
Super Built-Up Area,Ready To Move,Jalahalli East,2 Bhk,Shshasa,1020,2.0,1.0,42.48,4
Super Built-Up Area,Ready To Move,Yelahanka,3 Bhk,Grrvagr,1610,3.0,1.0,115.0,4
Super Built-Up Area,Ready To Move,Prestige Sunrise,1 Bhk,Grrvagr,700,1.0,1.0,41.0,0
Super Built-Up Area,Ready To Move,Akshaya Vana,3 Bhk,Rainet,1300,2.0,1.0,49.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Mahosya,1420,2.0,1.0,123.0,4
Plot Area,Ready To Move,Vidyaranyapura,9 Bedroom,Grrvagr,1200,9.0,2.0,100.0,4
Carpet Area,18-Dec,Hebbal,3 Bhk,Arcia S,1069,3.0,2.0,65.4,4
Super Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Puerari,1900,3.0,3.0,123.0,4
Super Built-Up Area,18-May,Old Airport Road,2 Bhk,Jaades,1655,2.0,1.0,97.65,4
Super Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Slnsspr,1155,2.0,2.0,40.42,4
Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Esatea,1300,2.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Amhidte,1100,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Doddathoguru,2 Bhk,Arensh,1030,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Vittasandra,2 Bhk,Prlla C,2105,2.0,1.0,70.2,4
Built-Up Area,Ready To Move,Bhoganhalli,3 Bhk,Prsun S,1700,3.0,2.0,126.0,4
Super Built-Up Area,Ready To Move,Jakkur,3 Bhk,Brdgeno,1760,3.0,2.0,139.0,4
Built-Up Area,Ready To Move,Kadugodi,9 Bedroom,Grrvagr,6200,9.0,0.0,200.0,4
Built-Up Area,Ready To Move,1St Stage Indira Nagar,2 Bhk,Grrvagr,1400,2.0,1.0,67.0,4
Super Built-Up Area,Ready To Move,Srigandada Kaval,2 Bhk,Grrvagr,1200,2.0,0.0,53.0,4
Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Haaceal,912,2.0,1.0,55.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Grrvagr,1102,2.0,1.0,48.0,4
Super Built-Up Area,Ready To Move,Channasandra Layout,3 Bhk,Aconyit,1535,3.0,1.0,55.0,4
Super Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Rinceeg,1243,2.0,2.0,46.0,4
Super Built-Up Area,Ready To Move,Jigani,2 Bhk,Dlhtsan,918,2.0,2.0,63.2,4
Super Built-Up Area,Ready To Move,Begur Road,3 Bhk,Mjilayl,1500,2.0,3.0,70.0,4
Plot Area,Ready To Move,Mathikere Extension,3 Bedroom,Grrvagr,3000,3.0,0.0,250.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Hmwerco,1476,3.0,0.0,89.0,4
Super Built-Up Area,18-Apr,Mysore Road,2 Bhk,Grrvagr,1200,2.0,3.0,65.0,4
Super Built-Up Area,21-Jun,Vijayanagar,1 Bhk,Saityat,606,1.0,0.0,34.78,0
Super Built-Up Area,Ready To Move,Viswajit Layout,2 Bhk,Grrvagr,1100,2.0,3.0,61.0,4
Super Built-Up Area,Ready To Move,Garudachar Palya,3 Bhk,Grrvagr,1295,2.0,1.0,59.5,4
Built-Up Area,Ready To Move,Neeladri Nagar,1 Bhk,Adingsv,527,1.0,0.0,26.0,0
Super Built-Up Area,Ready To Move,Ombr Layout,2 Bhk,Drerspe,1300,2.0,2.0,80.0,4
Plot Area,Ready To Move,Bommanahalli,3 Bedroom,Grrvagr,680,4.0,1.0,68.0,4
Plot Area,Ready To Move,Adityanagar,1 Bedroom,Grrvagr,1260,1.0,0.0,41.0,0
Built-Up Area,Ready To Move,Koramangala,2 Bhk,Vaanda,1140,2.0,1.0,75.2,4
Plot Area,Ready To Move,Bds Layout,1 Bedroom,Grrvagr,1500,1.0,0.0,37.5,0
Super Built-Up Area,18-Dec,Whitefield,3 Bhk,Prtates,2321,4.0,1.0,128.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Grrvagr,1390,2.0,2.0,62.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Asncywo,1725,3.0,3.0,90.0,4
Super Built-Up Area,18-May,Hebbal,4 Bhk,Snontle,3067,4.0,1.0,310.0,4
Super Built-Up Area,18-Mar,Hennur Road,3 Bhk,Koagati,1186,2.0,1.0,63.0,4
Super Built-Up Area,18-Dec,Kanakpura Road,2 Bhk,Prityfa,1230,2.0,1.0,85.0,4
Built-Up Area,Ready To Move,Mysore Highway,1 Bhk,Grrvagr,600,1.0,1.0,17.0,0
Super Built-Up Area,18-Dec,Yeshwanthpur,3 Bhk,Grrvagr,1313,3.0,1.0,96.0,4
Super Built-Up Area,Ready To Move,Ambalipura,2 Bhk,Grrvagr,1250,2.0,2.0,66.25,4
Plot Area,Ready To Move,Hbr Layout,9 Bedroom,Grrvagr,1200,6.0,3.0,280.0,4
Super Built-Up Area,19-Dec,Binny Pete,1 Bhk,She 2Rk,660,1.0,1.0,54.0,0
Super Built-Up Area,Ready To Move,Basavangudi,2 Bhk,Tinori,1036,2.0,2.0,105.0,4
Built-Up Area,Ready To Move,Koramangala,4 Bhk,Grrvagr,2700,4.0,3.0,450.0,4
Super Built-Up Area,Ready To Move,Old Madras Road,2 Bhk,Teilsaf,1100,2.0,1.0,70.0,4
Plot Area,Immediate Possession,Devanahalli,2 Bhk,Ajleyor,1500 - 2400,2.0,2.0,46.8,4
Plot Area,Ready To Move,Btm 2Nd Stage,4 Bedroom,Grrvagr,1500,2.0,1.0,450.0,4
Plot Area,Ready To Move,Singasandra,4 Bedroom,Grrvagr,525,5.0,2.0,56.0,4
Built-Up Area,Ready To Move,Electronics City Phase 1,2 Bhk,Gaicave,1015,2.0,1.0,56.0,4
Plot Area,Ready To Move,Gottigere,1 Bedroom,Grrvagr,812,1.0,0.0,26.0,0
Built-Up Area,Ready To Move,Narayana Nagar 1St Block,3 Bhk,Grrvagr,1360,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Nehru Nagar,3 Bhk,Ceste C,2167,3.0,3.0,170.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1200,2.0,1.0,35.0,4
Super Built-Up Area,Ready To Move,Gopalkrishna Nagar,2 Bhk,Mjarlpe,1165,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Btm 2Nd Stage,2 Bhk,Ndclenn,1274,2.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1151,2.0,2.0,39.02,4
Plot Area,Ready To Move,Vidyaranyapura,6 Bedroom,Grrvagr,1060,6.0,3.0,110.0,4
Super Built-Up Area,Ready To Move,Thubarahalli,3 Bhk,Shdhisa,1626,2.0,2.0,120.0,4
Super Built-Up Area,Ready To Move,Banashankari Stage V,2 Bhk,Grrvagr,1035,2.0,2.0,35.77,4
Plot Area,Ready To Move,Shanthi Layout,3 Bedroom,Grrvagr,1272,4.0,0.0,75.0,4
Built-Up Area,Ready To Move,Jeevan Bima Nagar,2 Bhk,Grrvagr,965,2.0,1.0,45.0,4
Plot Area,Ready To Move,Esther Enclave Layout,5 Bedroom,Grrvagr,1600,5.0,2.0,140.0,4
Super Built-Up Area,Ready To Move,Kothannur,2 Bhk,Grrvagr,1070,2.0,1.0,42.79,4
Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Spensas,1570,2.0,2.0,65.0,4
Built-Up Area,Ready To Move,Volagerekallahalli,2 Bhk,Psteras,117Sq. Yards,2.0,2.0,38.0,4
Super Built-Up Area,Ready To Move,Keerthi Layout,2 Bhk,Nianake,780,2.0,2.0,25.0,4
Super Built-Up Area,Ready To Move,Ganga Nagar Extension,3 Bhk,Grrvagr,1000,2.0,1.0,65.0,4
Plot Area,Ready To Move,9Th Phase Jp Nagar,4 Bedroom,Grrvagr,1200,3.0,2.0,188.0,4
Built-Up Area,Ready To Move,Tindlu,7 Bedroom,Grrvagr,7500,7.0,2.0,400.0,4
Built-Up Area,Ready To Move,5Th Phase Jp Nagar,3 Bhk,Grrvagr,1700,2.0,3.0,100.0,4
Super Built-Up Area,Ready To Move,Haralur Road,3 Bhk,Rbersll,1850,3.0,2.0,110.0,4
Built-Up Area,Ready To Move,Kereguddadahalli,2 Bhk,Dsdorsp,904,2.0,1.0,30.0,4
Super Built-Up Area,Ready To Move,Shikaripalya,2 Bhk,Altonea,1121,2.0,1.0,43.72,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Vasta C,1385,2.0,2.0,58.17,4
Super Built-Up Area,Ready To Move,Sahakara Nagar,2 Bhk,Rauil T,1270,2.0,1.0,69.85,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Jrrnauv,1450,3.0,3.0,56.0,4
Plot Area,Ready To Move,Huttanahalli,3 Bedroom,Grrvagr,2400,4.0,2.0,325.0,4
Super Built-Up Area,Ready To Move,Mahadevpura,1 Bhk,Grrvagr,730,1.0,1.0,35.0,0
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1580,3.0,3.0,53.56,4
Super Built-Up Area,Ready To Move,Thanisandra,2 Bhk,Teire G,1111,2.0,1.0,50.0,4
Plot Area,Ready To Move,Kengeri,4 Bedroom,Grrvagr,1125,2.0,1.0,88.0,4
Super Built-Up Area,Ready To Move,Varthur,2 Bhk,Maine J,977,2.0,2.0,36.0,4
Super Built-Up Area,18-Dec,Gunjur Palya,2 Bhk,Grrvagr,674,1.0,1.0,19.9,0
Plot Area,18-Apr,Nagarbhavi,3 Bedroom,Grrvagr,600,3.0,1.0,83.0,4
Plot Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm,2540,4.0,1.0,115.0,4
Super Built-Up Area,17-Dec,Jakkur,2 Bhk,Brdgeno,1290,2.0,1.0,100.0,4
Plot Area,Ready To Move,Kumaraswami Layout,3 Bedroom,Grrvagr,600,3.0,1.0,98.0,4
Super Built-Up Area,Ready To Move,Abbigere,2 Bhk,Sltias,795,2.0,1.0,32.54,4
Super Built-Up Area,20-Dec,Kanakpura Road,2 Bhk,Prarepa,700,1.0,1.0,35.0,0
Built-Up Area,Ready To Move,Ambedkar Colony,2 Bhk,Rmcesa,1463,1.0,1.0,142.0,0
Built-Up Area,Ready To Move,Vijayanagar,3 Bedroom,Grrvagr,1000,3.0,0.0,140.0,4
Super Built-Up Area,Ready To Move,Reliable Woods Layout,3 Bhk,Grrvagr,1306,2.0,2.0,58.0,4
Super Built-Up Area,Ready To Move,4Th T Block Jayanagar,3 Bhk,Grrvagr,2401,3.0,2.0,185.0,4
Plot Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1670,3.0,0.0,135.0,4
Built-Up Area,Ready To Move,Jayanagar,3 Bhk,Rathira,1875,2.0,3.0,235.0,4
Plot Area,Ready To Move,Marsur,3 Bedroom,Arerare,1200,3.0,1.0,90.0,4
Super Built-Up Area,Ready To Move,Dodda Nekkundi,3 Bhk,Grrvagr,1804,3.0,2.0,121.0,4
Super Built-Up Area,Ready To Move,1St Phase Jp Nagar,3 Bhk,Prhtsok,2065,4.0,1.0,210.0,4
Super Built-Up Area,Ready To Move,Hoskote,3 Bhk,Deiveer,1225,3.0,1.0,40.0,4
Super Built-Up Area,18-Nov,Thanisandra,2 Bhk,Bhe 2Ko,934 - 1437,2.0,0.0,58.68,4
Super Built-Up Area,Ready To Move,Bellandur,2 Bhk,Trows M,900,2.0,2.0,56.0,4
Super Built-Up Area,19-Dec,Binny Pete,2 Bhk,She 2Rk,1350,2.0,1.0,91.0,4
Super Built-Up Area,Ready To Move,Kaggalipura,1 Bhk,Baowsig,700,1.0,0.0,36.0,0
Super Built-Up Area,18-Jun,Mysore Road,2 Bhk,Gopia O,980 - 1030,2.0,0.0,35.175,4
Super Built-Up Area,Ready To Move,Poorna Pragna Layout,2 Bhk,Grrvagr,1160,2.0,1.0,46.39,4
Super Built-Up Area,Ready To Move,Hennur Road,3 Bhk,Chionco,1680,3.0,2.0,99.27,4
Carpet Area,Ready To Move,Lb Shastri Nagar,2 Bhk,Charkr,1043,2.0,2.0,55.0,4
Plot Area,Ready To Move,Hoskote,4 Bedroom,Grrvagr,1200,4.0,1.0,120.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Diaveic,1040,2.0,2.0,46.0,4
Super Built-Up Area,Ready To Move,Tindlu,3 Bhk,Shmolti,1357,2.0,2.0,65.0,4
Plot Area,Ready To Move,Nayandanahalli,7 Bedroom,Grrvagr,1600,7.0,1.0,104.0,4
Super Built-Up Area,18-Aug,Vibhutipura Extension,2 Bhk,Grrvagr,1225,2.0,2.0,47.0,4
Plot Area,Ready To Move,Sunkadakatte,9 Bedroom,Grrvagr,1500,6.0,1.0,80.0,4
Super Built-Up Area,Ready To Move,Yelachenahalli,2 Bhk,Grrvagr,1130,2.0,2.0,40.0,4
Built-Up Area,Ready To Move,Basavangudi,4 Bedroom,Grrvagr,2500,4.0,1.0,150.0,4
Carpet Area,Ready To Move,Sultan Palaya,3 Bhk,Grrvagr,1700,3.0,3.0,120.0,4
Super Built-Up Area,Ready To Move,Doddathoguru,3 Bhk,Skteras,1549,3.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Yeshwanthpur,2 Bhk,Goandn,1400,2.0,2.0,100.0,4
Super Built-Up Area,Ready To Move,Dodda Nekkundi,2 Bhk,Mavarsa,1080,2.0,2.0,50.0,4
Built-Up Area,Ready To Move,Ulsoor,2 Bhk,Rilor C,1180,2.0,2.0,100.0,4
Plot Area,Ready To Move,Chandra Layout,7 Bedroom,Grrvagr,780,7.0,3.0,150.0,4
Super Built-Up Area,Ready To Move,Domlur,3 Bhk,Saiewas,1800,3.0,2.0,150.0,4
Super Built-Up Area,18-Aug,Haralur Road,2 Bhk,Snnia E,1225,2.0,1.0,67.38,4
Built-Up Area,Ready To Move,Chandra Layout,1 Bhk,Grrvagr,890,1.0,1.0,75.0,0
Super Built-Up Area,Ready To Move,Abbigere,2 Bhk,Sltias,1005,2.0,1.0,39.59,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Brlisco,1320,2.0,1.0,95.0,4
Built-Up Area,Ready To Move,Anandapura,4 Bhk,Grrvagr,1475,2.0,1.0,50.0,4
